0	12	0	0	0	5
0	12	0	0	1	3
0	12	0	0	2	-12
0	12	0	0	3	-20
0	12	0	0	4	-22
0	12	0	0	5	-26
0	12	0	0	6	-30
0	12	0	0	7	-29
0	12	0	0	8	-25
0	12	0	0	9	-20
0	12	0	0	10	-3
0	12	0	1	0	-5
0	12	0	1	1	-6
0	12	0	1	2	-6
0	12	0	1	3	-8
0	12	0	1	4	-12
0	12	0	1	5	-18
0	12	0	1	6	-21
0	12	0	1	7	-24
0	12	0	1	8	-23
0	12	0	1	9	-20
0	12	0	1	10	5
0	12	0	2	0	-22
0	12	0	2	1	-16
0	12	0	2	2	-3
0	12	0	2	3	1
0	12	0	2	4	-3
0	12	0	2	5	-10
0	12	0	2	6	-12
0	12	0	2	7	-19
0	12	0	2	8	-21
0	12	0	2	9	-22
0	12	0	2	10	8
0	12	0	3	0	-18
0	12	0	3	1	-13
0	12	0	3	2	3
0	12	0	3	3	4
0	12	0	3	4	3
0	12	0	3	5	-5
0	12	0	3	6	-8
0	12	0	3	7	-13
0	12	0	3	8	-19
0	12	0	3	9	-22
0	12	0	3	10	10
0	12	0	4	0	-8
0	12	0	4	1	-4
0	12	0	4	2	6
0	12	0	4	3	8
0	12	0	4	4	6
0	12	0	4	5	0
0	12	0	4	6	-3
0	12	0	4	7	-8
0	12	0	4	8	-15
0	12	0	4	9	-19
0	12	0	4	10	12
0	12	0	5	0	0
0	12	0	5	1	5
0	12	0	5	2	12
0	12	0	5	3	11
0	12	0	5	4	8
0	12	0	5	5	2
0	12	0	5	6	0
0	12	0	5	7	-4
0	12	0	5	8	-9
0	12	0	5	9	-13
0	12	0	5	10	15
0	12	0	6	0	5
0	12	0	6	1	10
0	12	0	6	2	13
0	12	0	6	3	12
0	12	0	6	4	8
0	12	0	6	5	5
0	12	0	6	6	2
0	12	0	6	7	-1
0	12	0	6	8	-5
0	12	0	6	9	-11
0	12	0	6	10	19
0	12	0	7	0	4
0	12	0	7	1	11
0	12	0	7	2	12
0	12	0	7	3	11
0	12	0	7	4	8
0	12	0	7	5	4
0	12	0	7	6	3
0	12	0	7	7	0
0	12	0	7	8	-4
0	12	0	7	9	-7
0	12	0	7	10	18
0	12	0	8	0	6
0	12	0	8	1	-99
0	12	0	8	2	-90
0	12	0	8	3	32
0	12	0	8	4	22
0	12	0	8	5	16
0	12	0	8	6	9
0	12	0	8	7	3
0	12	0	8	8	-5
0	12	0	8	9	-10
0	12	0	8	10	109
0	12	0	9	0	24
0	12	0	9	1	36
0	12	0	9	2	33
0	12	0	9	3	27
0	12	0	9	4	18
0	12	0	9	5	12
0	12	0	9	6	7
0	12	0	9	7	2
0	12	0	9	8	-5
